Txn_ID,Date,Bank,Account,Sort_Code,Account_Name,Type,Description,Reference,Money_In,Money_Out,Amount_Signed,Balance,Counterparty_Raw,Counterparty_Norm,Counterparty_Sort_Code,Counterparty_Account,Is_Own_Account_Transfer,Source_File,Source_Row
BARCLAYS-Barclays_90311276_export-3,2024-10-01,Barclays,90311276,20-45-18,Northbridge Trading Ltd,,CASH WDL 01OCT,,0.0,150.0,-150.0,9300.0,CASH,CASH,,,False,Barclays_90311276_export.csv,3
LLOYDS-Lloyds_41283719_Oct24-Mar26-2,2024-10-01,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC DENBY GARDEN CENTRES INV13278,,6484.09,-0.0,6484.09,190804.64,Denby Garden Centres,DENBY GARDEN CENTRES,,,False,Lloyds_41283719_Oct24-Mar26.csv,2
LLOYDS-Lloyds_41283719_Oct24-Mar26-3,2024-10-01,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC DENBY GARDEN CENTRES INV98696,,6477.21,-0.0,6477.21,197281.85,Denby Garden Centres,DENBY GARDEN CENTRES,,,False,Lloyds_41283719_Oct24-Mar26.csv,3
LLOYDS-Lloyds_41283719_Oct24-Mar26-4,2024-10-01,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC HEXHAM SUPPLIES LTD INV39256,,1788.4,-0.0,1788.4,199070.25,Hexham Supplies Ltd,HEXHAM SUPPLIES LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,4
LLOYDS-Lloyds_41283719_Oct24-Mar26-5,2024-10-01,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC RAVENSCOURT LTD INV21395,,5305.84,-0.0,5305.84,204376.09,Ravenscourt Ltd,RAVENSCOURT LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,5
LLOYDS-Lloyds_41283719_Oct24-Mar26-6,2024-10-01,Lloyds,41283719,,Northbridge Trading Ltd Current,DD,DD HARTWELL FINANCE PLC,,0.0,3180.4,-3180.4,201195.69,Hartwell Finance plc,HARTWELL FINANCE PLC,,,False,Lloyds_41283719_Oct24-Mar26.csv,6
LLOYDS-Lloyds_41283719_Oct24-Mar26-7,2024-10-01,Lloyds,41283719,,Northbridge Trading Ltd Current,FPO,FPO MERIDIAN PACKAGING LTD REF 2535,2535,0.0,1429.03,-1429.03,199766.66,Meridian Packaging Ltd,MERIDIAN PACKAGING LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,7
LLOYDS-Lloyds_41283719_Oct24-Mar26-8,2024-10-01,Lloyds,41283719,,Northbridge Trading Ltd Current,SO,SO ASHCOMBE ESTATES RENT,,0.0,6250.0,-6250.0,193516.66,Ashcombe Estates,ASHCOMBE ESTATES,,,False,Lloyds_41283719_Oct24-Mar26.csv,8
LLOYDS-Lloyds_41283719_Oct24-Mar26-9,2024-10-02,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC ALDERTON RETAIL LTD INV30926,,6145.49,-0.0,6145.49,199662.15,Alderton Retail Ltd,ALDERTON RETAIL LTD,,,False,Lloyds_41283719_Oct24-Mar26.csv,9
LLOYDS-Lloyds_41283719_Oct24-Mar26-10,2024-10-02,Lloyds,41283719,,Northbridge Trading Ltd Current,BGC,BGC KINGSMEAD DISTRIBUTION INV46421,,1912.74,-0.0,1912.74,201574.89,Kingsmead Distribution,KINGSMEAD DISTRIBUTION,,,False,Lloyds_41283719_Oct24-Mar26.csv,10
